0	CONN	1	4	up
432	CONN	35	4	up
595	CONN	64	70	up
708	CONN	64	75	up
735	CONN	66	30	up
825	CONN	25	62	up
826	CONN	64	47	up
828	CONN	46	74	up
828	CONN	49	20	up
838	CONN	1	35	up
939	CONN	65	50	up
945	CONN	72	43	up
949	CONN	69	72	up
952	CONN	44	74	up
956	CONN	24	17	up
956	CONN	24	57	up
963	CONN	7	75	up
966	CONN	66	21	up
1010	CONN	50	66	up
1052	CONN	65	0	up
1052	CONN	68	2	up
1052	CONN	68	21	up
1060	CONN	51	60	up
1061	CONN	48	33	up
1062	CONN	48	19	up
1062	CONN	74	33	up
1062	CONN	75	16	up
1063	CONN	41	15	up
1063	CONN	41	27	up
1063	CONN	41	48	up
